epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14505,0,0,40.1251,0,0,0,0,0,0,0,0,0,0,0,7.86849,0,6.394e-05,6.394e-05,6.394e-05
2,11.5012,0,0,19.2416,0,0,0,0,0,0,0,0,0,0,0,6.74479,0,0.000124192,0.000124192,0.000124192
3,16.9772,0,0,13.0759,0,0,0,0,0,0,0,0,0,0,0,0.46159,0,0.000177839,0.000177839,0.000177839
4,22.1661,0,0,9.74132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224881,0.000224881,0.000224881
5,27.1249,0,0,7.44053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222956,0.000222956,0.000222956
6,32.4038,0,0,5.71098,0,0,0,0,0,0,0,0,0,0,0,9237.33,0,0.000209195,0.000209195,0.000209195
7,37.5009,0,0,4.38319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000195434,0.000195434,0.000195434
8,42.541,0,0,3.39453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181673,0.000181673,0.000181673
9,47.6283,0,0,2.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167912,0.000167912,0.000167912
10,53.0528,0,0,2.13983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154151,0.000154151,0.000154151
11,59.0255,0,0,1.73196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014039,0.00014039,0.00014039
12,63.1397,0,0,1.42054,0,0,0,0,0,0,0,0,0,0,0,1575.33,0,0.000126629,0.000126629,0.000126629
13,67.3134,0,0,1.19654,0,0,0,0,0,0,0,0,0,0,0,324.75,0,0.000112868,0.000112868,0.000112868
14,71.7107,0,0,1.03345,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9107e-05,9.9107e-05,9.9107e-05
15,75.9121,0,0,0.89877,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5346e-05,8.5346e-05,8.5346e-05
16,80.0752,0,0,0.79135,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1585e-05,7.1585e-05,7.1585e-05
17,84.2971,0,0,0.70882,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7824e-05,5.7824e-05,5.7824e-05
18,89.2308,0,0,0.65203,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4063e-05,4.4063e-05,4.4063e-05
19,93.9701,0,0,0.61361,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0302e-05,3.0302e-05,3.0302e-05
20,98.7815,0,0,0.59043,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6541e-05,1.6541e-05,1.6541e-05
